AoA [deg]    cl       cd        cm    
--------- -------- --------- ---------
 -9.000  -0.3543   0.10592   -0.0266
 -8.750  -0.3577   0.10421   -0.0249
 -8.500  -0.3599   0.10233   -0.0236
 -8.250  -0.3462   0.09874   -0.0270
 -8.000  -0.3322   0.09501   -0.0308
 -7.750  -0.3174   0.09113   -0.0350
 -7.500  -0.2988   0.08620   -0.0422
 -7.250  -0.2759   0.08140   -0.0498
 -7.000  -0.2502   0.07633   -0.0577
 -6.750  -0.2267   0.06970   -0.0664
 -6.500  -0.2008   0.06659   -0.0712
 -6.250  -0.1759   0.06338   -0.0760
 -6.000  -0.1480   0.05974   -0.0818
 -5.750  -0.1166   0.05562   -0.0886
 -5.500  -0.0729   0.04990   -0.0988
 -5.250  -0.0390   0.04496   -0.1053
 -5.000   0.0007   0.03645   -0.1156
 -4.750   0.0644   0.01874   -0.1313
 -4.500   0.0997   0.01382   -0.1345
 -4.250   0.1301   0.01208   -0.1352
 -4.000   0.1589   0.01122   -0.1354
 -3.750   0.1880   0.01039   -0.1356
 -3.500   0.2171   0.00966   -0.1357
 -3.250   0.2455   0.00919   -0.1356
 -3.000   0.2745   0.00870   -0.1358
 -2.750   0.3036   0.00815   -0.1359
 -2.500   0.3322   0.00791   -0.1359
 -2.250   0.3607   0.00770   -0.1359
 -2.000   0.3892   0.00755   -0.1359
 -1.750   0.4181   0.00732   -0.1359
 -1.500   0.4468   0.00713   -0.1360
 -1.250   0.4751   0.00704   -0.1360
 -1.000   0.5030   0.00698   -0.1358
 -0.750   0.5307   0.00693   -0.1356
 -0.500   0.5587   0.00690   -0.1356
 -0.250   0.5867   0.00689   -0.1355
  0.000   0.6148   0.00689   -0.1354
  0.250   0.6429   0.00690   -0.1354
  0.500   0.6711   0.00691   -0.1354
  0.750   0.6993   0.00692   -0.1355
  1.000   0.7275   0.00688   -0.1356
  1.250   0.7496   0.00545   -0.1347
  1.500   0.7773   0.00561   -0.1345
  1.750   0.8050   0.00577   -0.1344
  2.000   0.8324   0.00596   -0.1343
  2.250   0.8596   0.00618   -0.1341
  2.500   0.8865   0.00645   -0.1340
  2.750   0.9132   0.00675   -0.1337
  3.000   0.9394   0.00713   -0.1335
  3.250   0.9646   0.00766   -0.1331
  3.500   0.9892   0.00829   -0.1327
  3.750   1.0137   0.00893   -0.1323
  4.000   1.0393   0.00937   -0.1320
  4.250   1.0653   0.00974   -0.1317
  4.500   1.0913   0.01009   -0.1315
  4.750   1.1177   0.01038   -0.1313
  5.000   1.1438   0.01067   -0.1311
  5.250   1.1699   0.01096   -0.1308
  5.500   1.1958   0.01126   -0.1306
  5.750   1.2218   0.01154   -0.1303
  6.000   1.2476   0.01182   -0.1300
  6.250   1.2731   0.01214   -0.1297
  6.500   1.2983   0.01248   -0.1293
  6.750   1.3231   0.01284   -0.1289
  7.000   1.3478   0.01321   -0.1284
  7.250   1.3723   0.01359   -0.1279
  7.500   1.3963   0.01400   -0.1273
  7.750   1.4197   0.01446   -0.1267
  8.000   1.4436   0.01485   -0.1261
  8.250   1.4668   0.01531   -0.1254
  8.500   1.4895   0.01578   -0.1246
  8.750   1.5123   0.01623   -0.1239
  9.000   1.5346   0.01671   -0.1230
  9.250   1.5564   0.01723   -0.1221
  9.500   1.5774   0.01779   -0.1211
  9.750   1.5970   0.01848   -0.1198
 10.000   1.6143   0.01939   -0.1181
 10.250   1.6318   0.02021   -0.1165
 10.500   1.6490   0.02102   -0.1147
 10.750   1.6664   0.02173   -0.1131
 11.000   1.6820   0.02254   -0.1111
 11.250   1.6954   0.02350   -0.1088
 11.500   1.7039   0.02480   -0.1057
 11.750   1.7126   0.02585   -0.1026
 12.000   1.7205   0.02682   -0.0994
 12.250   1.7277   0.02793   -0.0963
 12.500   1.7341   0.02914   -0.0932
 12.750   1.7396   0.03047   -0.0902
 13.000   1.7438   0.03196   -0.0872
 13.250   1.7473   0.03356   -0.0844
 13.500   1.7494   0.03533   -0.0816
 13.750   1.7505   0.03728   -0.0790
 14.000   1.7504   0.03940   -0.0766
 14.250   1.7483   0.04181   -0.0743
 14.500   1.7451   0.04447   -0.0723
 14.750   1.7395   0.04751   -0.0705
 15.000   1.7321   0.05094   -0.0690
 15.250   1.7222   0.05490   -0.0680
 15.500   1.7098   0.05940   -0.0676
 15.750   1.6951   0.06455   -0.0677
 16.000   1.6795   0.07026   -0.0686
 16.250   1.6611   0.07680   -0.0702
 16.500   1.6409   0.08402   -0.0726
 16.750   1.6214   0.09160   -0.0756
 17.000   1.6000   0.09990   -0.0792
 17.250   1.5774   0.10873   -0.0833
 17.500   1.5541   0.11808   -0.0880
