 AoA [deg]    cl       cd        cm    
--------- -------- --------- ---------
 -10.000  -0.3654   0.14183   -0.0295
  -9.500  -0.3600   0.13652   -0.0304
  -9.000  -0.3447   0.11710   -0.0283
  -8.500  -0.3345   0.11078   -0.0266
  -8.000  -0.3326   0.10651   -0.0249
  -7.500  -0.3486   0.10561   -0.0221
  -7.000  -0.3570   0.10765   -0.0265
  -6.500  -0.3431   0.10435   -0.0312
  -6.000  -0.3231   0.09923   -0.0350
  -5.500  -0.3168   0.08724   -0.0366
  -5.000  -0.3112   0.07963   -0.0314
  -4.500  -0.2914   0.07404   -0.0309
  -4.000  -0.2558   0.06869   -0.0353
  -3.500  -0.1843   0.06704   -0.0469
  -3.000  -0.1250   0.06524   -0.0529
  -2.500  -0.0788   0.05028   -0.0619
  -2.000  -0.0138   0.04529   -0.0683
  -1.000   0.2320   0.02744   -0.0974
  -0.500   0.3269   0.02482   -0.1046
   0.000   0.4200   0.02473   -0.1132
   0.500   0.4928   0.02418   -0.1173
   1.000   0.5766   0.02271   -0.1229
   1.500   0.6293   0.02320   -0.1228
   2.000   0.7640   0.02126   -0.1356
   2.500   0.8174   0.02056   -0.1336
   3.000   0.9087   0.01920   -0.1383
   3.500   0.9586   0.01875   -0.1355
   4.000   1.0216   0.01747   -0.1337
   4.500   1.0784   0.01668   -0.1311
   5.000   1.1279   0.01644   -0.1270
   5.500   1.1581   0.01839   -0.1205
   6.000   1.1934   0.02113   -0.1167
   6.500   1.2363   0.02358   -0.1145
   7.000   1.2790   0.02650   -0.1124
   7.500   1.3151   0.02723   -0.1093
   8.000   1.3641   0.03282   -0.1079
   8.500   1.3980   0.03363   -0.1042
   9.000   1.4228   0.03500   -0.1002
   9.500   1.4400   0.03640   -0.0950
  10.000   1.4547   0.03790   -0.0889
  10.500   1.4549   0.04349   -0.0809
  11.000   1.4518   0.04841   -0.0739
  11.500   1.4345   0.05662   -0.0670
  12.000   1.4035   0.06627   -0.0616
  12.500   1.3666   0.07668   -0.0594
  13.000   1.3276   0.08822   -0.0610
  13.500   1.2889   0.10175   -0.0667
  14.000   1.2516   0.11824   -0.0768
  14.500   1.1493   0.16276   -0.1042
  15.000   1.1257   0.18187   -0.1138
  15.500   1.1166   0.19713   -0.1214
  16.000   1.1139   0.21110   -0.1278
  16.500   1.1149   0.22424   -0.1333
  17.000   1.1185   0.23684   -0.1377
  17.500   1.1175   0.25441   -0.1464
  18.000   1.1245   0.26547   -0.1506
  18.500   1.1323   0.27581   -0.1544
  19.000   1.1404   0.28596   -0.1579
  19.500   1.1486   0.29606   -0.1609
  20.000   1.1567   0.30623   -0.1634
  20.500   1.1650   0.31674   -0.1652
  21.000   1.1744   0.32900   -0.1653
  21.500   1.1720   0.35612   -0.1654
  22.000   1.1744   0.36717   -0.1684
  22.500   1.1747   0.37766   -0.1711
  23.000   1.1716   0.38735   -0.1734
  23.500   1.1623   0.39566   -0.1746
  24.000   0.9708   0.35721   -0.1427
  24.500   0.9436   0.35198   -0.1406
  25.000   0.9230   0.34763   -0.1401
