r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.25375000000000003,-6.3865587423750725,74.69905874237507,-0.28935300997322844,-0.07524961034810337,-0.4718226030445442,-0.060840054232032106,-0.17583194078514477,-0.2422094092689719,-1.5218466015794512
0.26125,-6.075131931399483,74.01263193139948,-0.2805479681165856,-0.045167876768174714,-0.23305098434487612,-0.05279664843319784,-0.14074219749861458,-0.11361175126472975,-0.7138436862694917
0.26875000000000004,-5.907970328618916,73.47047032861892,-0.2777320080958555,-0.03275724313025659,-0.16336519664288138,-0.04851846034727089,-0.1218482196927891,-0.07718239133485008,-0.48495126720811504
0.27625,-5.78087041188482,72.96837041188482,-0.2761930204964903,-0.02532233375519385,-0.12670578287828838,-0.0452059913294485,-0.10747268875807775,-0.05825039573300475,-0.3659980306070119
0.28375,-5.673414908591084,72.48591490859108,-0.2751773380680277,-0.020215921005371104,-0.10305787853461426,-0.042308531847885064,-0.0953295674460711,-0.046122705626793194,-0.2897975063216362
0.29125,-5.57817652192233,72.01567652192233,-0.27443790808009666,-0.01645038161263828,-0.08610817736790462,-0.03963538756436434,-0.08458535944047404,-0.037464544844334244,-0.23539667770609163
0.29874999999999996,-5.491656099442935,71.55415609944293,-0.2738662828665797,-0.013551260672225063,-0.07315356193617811,-0.03710161235794953,-0.0748430619534019,-0.03086030362394426,-0.1939010063050675
0.30625,-5.41194014038112,71.09944014038112,-0.27340627566582265,-0.01125280739650203,-0.06281893512285384,-0.03466476504632234,-0.06586008167264255,-0.02558578296185783,-0.1607602155786309
0.31375,-5.3378747172786944,70.6503747172787,-0.27302539504591267,-0.00939563684180291,-0.054319815481462995,-0.03230182083893337,-0.05753820880496567,-0.02125051181736885,-0.13352090362093813
0.32125000000000004,-5.268714266999581,70.20621426699958,-0.2727033840568912,-0.00787306630561314,-0.04717313221026476,-0.030001244395266795,-0.0497919623690691,-0.01760580404776116,-0.1106205293139758
0.32875,-5.203951917659154,69.76645191765915,-0.27242684377759674,-0.006611210705477386,-0.04106239163645073,-0.02775770135841269,-0.04256262616254505,-0.014489485345316484,-0.09104012143028646
0.33625,-5.143229449599119,69.33072944959912,-0.27218650364206504,-0.005556841263979557,-0.03577037272740755,-0.025569664263591432,-0.0358081193693144,-0.011790718897894365,-0.07408327174033456
0.34375,-5.086278975332959,68.89877897533296,-0.2719757001071216,-0.004670044692969184,-0.031141983126300624,-0.02343776385992866,-0.029496467783736928,-0.009430633116977406,-0.05925441543799366
0.35125,-5.032905961111126,68.47040596111113,-0.2717895195533825,-0.003920716521384516,-0.027063689540521785,-0.021364538443496693,-0.023603835678497706,-0.0073517451464873325,-0.04619237708653804
0.35875,-4.982971005546744,68.04547100554674,-0.2716243696168621,-0.003285967680339192,-0.023454713757294375,-0.019357497590679507,-0.018114723980782472,-0.005511916045169387,-0.0346323899094157
0.36624999999999996,-4.936359449264998,67.623859449265,-0.27147744612451224,-0.002747292034136677,-0.020251889254387836,-0.017423709167286895,-0.013015678089327213,-0.0038785322123007773,-0.02436953660975098
0.37375,-4.892981490268866,67.20548149026887,-0.2713462928189899,-0.0022896070325106855,-0.017395566982749036,-0.015561461111509491,-0.008289976769817513,-0.0024244920906040155,-0.015233533081056268
0.38125,-4.852766001296644,66.79026600129664,-0.27122911864355254,-0.0019008302001057055,-0.014845116502738804,-0.013776121739404627,-0.003927347034030117,-0.0011294416769135958,-0.007096491349699779
0.38875,-4.815656092153958,66.37815609215396,-0.2711244777095781,-0.001571044966300111,-0.012567848615073674,-0.012073322864900704,8.096278543639254e-05,2.2934433087321554e-05,0.00014410129300275216
0.39625,-4.781605856358468,65.96910585635847,-0.27103118995342185,-0.0012920374837200222,-0.010537167102103437,-0.010458873787526246,0.003742545178753925,0.0010458594191289552,0.006571328535646428
0.40375,-4.7505779415734395,65.56307794157344,-0.27094828310784896,-0.0010569492334921117,-0.008731222711502102,-0.008938696265563779,0.007064102770730564,0.0019501520326669327,0.012253166598419275
0.41125,-4.722541705682389,65.16004170568239,-0.27087494951239893,-0.0008600123535100162,-0.00713191528020568,-0.007518774377798293,0.010051651609408173,0.0027447355115288604,0.01724568183813218
