R,n_elem,J,T,A,Q,P,QC,TC
0.7,100.0,1.2,2494.76287182172,2046.098903868368,959.6753376036196,559823.4793259779,0.0910486072595545,0.3313647297482664
0.7,100.0,1.3666666666666667,1741.7593888343413,1536.7050129961403,715.9559342081341,343185.2717947535,0.0679258787994282,0.231347690670956
0.7,100.0,1.5333333333333332,1226.1010664099135,1160.5018204632656,536.9051838728242,215324.1672368196,0.0509385490140069,0.1628558181236297
0.7,100.0,1.7,860.0653152630849,872.4599702647281,400.3993631491444,136234.02736325533,0.0379876432517011,0.1142374347385974
0.7,100.0,1.8666666666666667,592.375974709408,645.0782587284807,293.032716945669,85454.26577954859,0.0278012987454787,0.0786818286363275
0.7,100.0,2.033333333333333,391.7105016846194,460.99711893950575,206.38196975892697,51875.19208354733,0.0195803624139761,0.0520286100119408
0.7,100.0,2.2,238.14862617959253,308.83527749275294,134.9452883065287,29149.323680583493,0.0128028512092735,0.0316318861585017
0.7,100.0,2.3666666666666667,118.52631318829656,180.8189544999877,74.98089711955758,13485.925766297463,0.0071137664857106,0.0157431554643182
0.7,100.0,2.533333333333333,23.92779617423704,71.54453602739387,23.895020998926483,2543.3928499932085,0.0022670254169735,0.0031781889181948
0.7,100.0,2.7,-51.85305886181442,-22.86462941118368,-20.16668044258156,-5171.466310680486,-0.0019133014003783254,-0.006887337883066732
