v/(nD)	v/(?R)	Ct	Cp	Cs	Tc	Pc	?	?*	stalled	v	rpm	Power	Thrust	Torque

[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[kW]	[kN]	[kNm]

0.000	0.000	0.337179	0.582100	0.000035	9.999999	9.999999	0.00	0.00	95.00 	60.00	0	0.00	0.0000	0.0000

0.100	0.032	0.246045	0.505510	0.114618	9.999999	9.999999	4.87	21.57	85.00 	60.00	0	0.00	0.0000	0.0000

0.200	0.064	0.311551	0.568823	0.223890	9.999999	9.999999	10.95	34.50	85.00 	60.00	0	0.00	0.0000	0.0000

0.300	0.095	0.324886	0.585019	0.333954	9.192391	9.999999	16.66	45.70	85.00 	60.00	0	0.00	0.0000	0.0000

0.400	0.127	0.337307	0.594277	0.443877	5.368400	9.999999	22.70	54.29	76.00 	60.00	0	0.00	0.0000	0.0000

0.500	0.159	0.349308	0.602702	0.553286	3.558018	9.999999	28.98	60.92	76.00	60.00	0	0.00	0.0000	0.0000

0.600	0.191	0.360105	0.613998	0.661482	2.547223	7.238580	35.19	66.14	68.00	60.00	0	0.00	0.0000	0.0000

0.700	0.223	0.370498	0.628425	0.768152	1.925441	4.665511	41.27	70.26	65.00	60.00	0	0.00	0.0000	0.0000

0.800	0.255	0.379254	0.646548	0.872911	1.509002	3.215667	46.93	73.61	54.00	60.00	0	0.00	0.0000	0.0000

0.900	0.286	0.386371	0.667616	0.975747	1.214672	2.332057	52.09	76.37	43.00	60.00	2857	473.40	4.1095	1.5822

1.000	0.318	0.389850	0.688992	1.077351	0.992746	1.754504	56.58	78.76	21.00	60.00	2571	356.16	3.3587	1.3226

1.100	0.350	0.387046	0.703908	1.180020	0.814549	1.346722	60.48	80.96	0.00	60.00	2338	273.38	2.7558	1.1167

1.200	0.382	0.377282	0.707052	1.286148	0.667181	1.041952	64.03	83.04	0.00	60.00	2143	211.51	2.2572	0.9426

1.300	0.414	0.362121	0.701125	1.395675	0.545642	0.812654	67.14	84.99	0.00	60.00	1978	164.96	1.8460	0.7964

1.400	0.446	0.342641	0.686944	1.509190	0.445167	0.637496	69.83	86.81	0.00	60.00	1837	129.41	1.5061	0.6728

1.500	0.477	0.317982	0.662080	1.628955	0.359882	0.499547	72.04	88.54	0.00	60.00	1714	101.41	1.2176	0.5649

1.600	0.509	0.289877	0.627606	1.756235	0.288346	0.390182	73.90	90.17	0.00	60.00	1607	79.21	0.9755	0.4706

1.700	0.541	0.261056	0.588013	1.890478	0.230026	0.304776	75.47	91.64	0.00	60.00	1513	61.87	0.7782	0.3906

