R,n_elem,J,Total Thrust,Total azimuthal,Torque,Total Power
0.7,5.0,1.2,2038.4584566587573,1669.5276278237243,768.4416166822543,457429.0080062244
0.7,20.0,1.2,2337.664466770313,1898.589678631978,884.9798738218071,524570.6796688228
0.7,36.0,1.2,2369.638396702297,1922.3700631755785,898.1631950860328,531745.6127674452
0.7,51.0,1.2,2379.651242863083,1929.8716381236943,902.416224168081,533992.4901917488
0.7,67.0,1.2,2384.785283174464,1933.7514805609003,904.640855657746,535144.5661435679
0.7,82.0,1.2,2387.536583172837,1935.8472730210208,905.85146549641,535761.9564194757
0.7,98.0,1.2,2389.402107374415,1937.2776836899725,906.6823880912184,536180.5790713881
0.7,113.0,1.2,2390.5942045163883,1938.1988311232976,907.2192317012044,536448.0850445016
0.7,129.0,1.2,2391.512829852208,1938.9119207580352,907.6363633187128,536654.2240878167
0.7,144.0,1.2,2392.154819118548,1939.4134695853672,907.9305243640788,536798.2861423036
0.7,160.0,1.2,2392.684987087204,1939.8296801336803,908.1751351797532,536917.2555562678
0.7,175.0,1.2,2393.0770367960063,1940.138886575421,908.3572666776104,537005.2313051975
0.7,191.0,1.2,2393.4151324771674,1940.406732182352,908.5152435135216,537081.0997986365
0.7,206.0,1.2,2393.6762118812394,1940.6141667269403,908.6377576477588,537139.6858799105
0.7,222.0,1.2,2393.9080483565804,1940.799167512445,908.7471479217888,537191.7098633223
0.7,237.0,1.2,2394.0912510542216,1940.945991957513,908.8340939872476,537232.8204525386
0.7,253.0,1.2,2394.2580863245435,1941.0801760437896,908.913625302708,537270.2581996531
0.7,268.0,1.2,2394.393340662179,1941.189141848272,908.978293721801,537300.6092020447
0.7,284.0,1.2,2394.518236352821,1941.290204570101,909.0382939121192,537328.6357294865
0.7,300.0,1.2,2394.6272926499414,1941.3787257940078,909.090888137444,537353.1079053337
