R,n_elem,J,Total Thrust,Total Torque,Total Power,CT,CQ,CP
0.7,100,1.2,211.69414365307435,360.3912814366791,1347.8602406896225,154.54721380743794,187.93106569895866,315.7241903742506
0.7,100,1.366666666666667,207.5318461224108,360.24390956381444,1183.0030868844729,196.51685151668573,243.6596744350995,466.2021770858238
0.7,100,1.5333333333333337,204.18908243931367,360.13154135249096,1054.0868987319443,243.3859564888332,306.61692376625,658.2043296848833
0.7,100,1.7,201.45709180003354,360.03993833379025,950.5032145112253,295.16866231866794,376.79951039885077,896.7828347492647
0.7,100,1.8666666666666665,199.17404041367664,359.9698703634511,865.4683930465468,351.8488388625917,454.21503385338104,1187.0152884701693
0.7,100,2.033333333333333,197.22732873555097,359.9106253094057,794.3975946751322,413.4034506279283,538.8571342465717,1533.9466421552406
0.7,100,2.2,195.5574379730974,359.86080169696515,734.1143187831939,479.85446983921213,630.727422095828,1942.6404600551507
0.7,100,2.3666666666666667,194.1103640452121,359.8172158673753,682.3334740467275,551.2045021746096,729.8236544142893,2418.149041626012
0.7,100,2.533333333333333,192.84400518250322,359.77891634002356,637.3752634343883,627.4522225524215,836.1461470647902,2965.531668256456
0.7,100,2.7,191.7236769339713,359.74425543903965,597.9734973854058,708.5869045429595,949.6929288515674,3589.839271058924
